isim,cinsiyet,yas,boy,kilo,takim,uok,yil,sezon,sehir,spor,etkinlik,madalya
Anke Borchmann (Grnberg-),F,22.0,176.0,65.0,East Germany,GDR,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
Erich Borchmeyer,M,27.0,178.0,81.0,Germany,GER,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Erich Borchmeyer,M,31.0,178.0,81.0,Germany,GER,1936,Summer,Berlin,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
"Anna Johanna Geertruida Maria ""Annie"" Borckink",F,28.0,167.45578231292518,61.74599542334096,Netherlands,NED,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 1,500 metres",Gold
Franois Borde,M,20.0,175.0,68.0,France,FRA,1920,Summer,Antwerpen,Rugby,Rugby Men's Rugby,Silver
Amanda Kathleen Borden (-Cochran),F,19.0,155.7158371040724,47.322404371584696,United States,USA,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Gold
"Patrick Lance ""Pat"" Borders",M,37.0,185.0,91.0,United States,USA,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
Gelindo Bordin,M,29.0,180.0,68.0,Italy,ITA,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,Gold
Yannick Philippe Andr Borel,M,27.0,197.0,100.0,France,FRA,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",Gold
Andrea Borella,M,23.0,191.0,87.0,Italy,ITA,1984,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Team",Gold
Valentin Vasilyevich Boreyko,M,26.0,179.0,73.0,Soviet Union,URS,1960,Summer,Roma,Rowing,Rowing Men's Coxless Pairs,Gold
Claes ke Borg,M,22.0,185.22486288848262,78.87200383509108,Sweden,SWE,1924,Summer,Paris,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Claes Arne Borg,M,22.0,182.85055643879173,76.7433110367893,Sweden,SWE,1924,Summer,Paris,Swimming,Swimming Men's 400 metres Freestyle,Silver
Claes Arne Borg,M,22.0,181.81048387096774,74.88191489361702,Sweden,SWE,1924,Summer,Paris,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
Claes Arne Borg,M,22.0,185.22486288848262,78.87200383509108,Sweden,SWE,1924,Summer,Paris,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Claes Arne Borg,M,26.0,182.85055643879173,76.7433110367893,Sweden,SWE,1928,Summer,Amsterdam,Swimming,Swimming Men's 400 metres Freestyle,Bronze
Claes Arne Borg,M,26.0,181.81048387096774,74.88191489361702,Sweden,SWE,1928,Summer,Amsterdam,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
"Robert John ""Bob"" Borg",M,35.0,167.0,62.0,United States,USA,1948,Summer,London,Equestrianism,"Equestrianism Men's Dressage, Team",Silver
Gustavo Frana Borges,M,19.0,203.0,98.0,Brazil,BRA,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,Silver
Gustavo Frana Borges,M,23.0,203.0,98.0,Brazil,BRA,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Gustavo Frana Borges,M,23.0,203.0,98.0,Brazil,BRA,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Freestyle,Silver
Gustavo Frana Borges,M,27.0,203.0,98.0,Brazil,BRA,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Maurcio Borges Almeida Silva,M,27.0,199.0,99.0,Brazil,BRA,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Tabar Larre Borges Gallarreta,M,30.0,194.87262357414448,91.68352893565358,Uruguay,URU,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Bronze
Borislav Konstantinov Borisov,M,25.0,185.0,87.0,Bulgaria,BUL,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Igor Andreyevich Borisov,M,28.0,187.38357094365242,84.17521652231845,Soviet Union,URS,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,Silver
Vasily Fyodorovich Borisov,M,33.0,170.0,85.0,Soviet Union,URS,1956,Summer,Melbourne,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
Vasily Fyodorovich Borisov,M,33.0,170.0,85.0,Soviet Union,URS,1956,Summer,Melbourne,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
Vasily Fyodorovich Borisov,M,37.0,170.0,85.0,Soviet Union,URS,1960,Summer,Roma,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Bronze
Mariya Olegovna Borisova,F,19.0,184.0,95.0,Russia,RUS,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Bronze
Verka Borisova (-Stoyanova),F,25.0,170.0,64.0,Bulgaria,BUL,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Bronze
Carlos Borja Morca,M,23.0,194.87262357414448,91.68352893565358,Mexico,MEX,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Bronze
Vctor Hugo Borja Morca,M,24.0,194.87262357414448,91.68352893565358,Mexico,MEX,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Bronze
Ren Borjas,M,30.0,177.4803386127799,73.08664412510566,Uruguay,URU,1928,Summer,Amsterdam,Football,Football Men's Football,Gold
Hasse Brjes,M,24.0,184.0,92.0,Sweden,SWE,1972,Winter,Sapporo,Speed Skating,Speed Skating Men's 500 metres,Silver
Zsolt Borkai,M,23.0,175.0,68.0,Hungary,HUN,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Ingo Borkowski,M,28.0,185.0,83.0,Germany,GER,2000,Summer,Sydney,Sailing,Sailing Mixed Three Person Keelboat,Silver
Rainer Borkowsky,M,14.0,180.65384615384616,76.47368421052632,Germany,GER,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Pairs,Silver
"James Andrew ""Jimmy"" Borland",M,25.0,180.99144412756027,83.77559260224017,Great Britain,GBR,1936,Winter,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Olivia Borle,F,22.0,172.0,57.0,Belgium,BEL,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Wilhelm Heinrich Born,M,24.0,182.48,95.61538461538461,Germany,GER,1906,Summer,Athina,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Jacqueline Brner (-Schubert),F,26.0,166.0,64.0,Germany,GER,1992,Winter,Albertville,Speed Skating,"Speed Skating Women's 1,500 metres",Gold
Anastasiya Valerivna Borodina,F,22.0,192.0,75.0,Ukraine,UKR,2004,Summer,Athina,Handball,Handball Women's Handball,Bronze
Aleksandr Genrikhovich Borodyuk,M,25.0,178.0,74.0,Soviet Union,URS,1988,Summer,Seoul,Football,Football Men's Football,Gold
Kathrin Boron (-Kppen),F,22.0,184.0,77.0,Germany,GER,1992,Summer,Barcelona,Rowing,Rowing Women's Double Sculls,Gold
Kathrin Boron (-Kppen),F,26.0,184.0,77.0,Germany,GER,1996,Summer,Atlanta,Rowing,Rowing Women's Quadruple Sculls,Gold
Kathrin Boron (-Kppen),F,30.0,184.0,77.0,Germany,GER,2000,Summer,Sydney,Rowing,Rowing Women's Double Sculls,Gold
Kathrin Boron (-Kppen),F,34.0,184.0,77.0,Germany,GER,2004,Summer,Athina,Rowing,Rowing Women's Quadruple Sculls,Gold
Kathrin Boron (-Kppen),F,38.0,184.0,77.0,Germany,GER,2008,Summer,Beijing,Rowing,Rowing Women's Quadruple Sculls,Bronze
"Theodore ""Ted"" Boronovskis",M,21.0,183.0,104.0,Australia,AUS,1964,Summer,Tokyo,Judo,Judo Men's Open Class,Bronze
Iosif Boro,M,27.0,184.0,88.0,Romania,ROU,1980,Summer,Moskva,Handball,Handball Men's Handball,Bronze
Iosif Boro,M,31.0,184.0,88.0,Romania,ROU,1984,Summer,Los Angeles,Handball,Handball Men's Handball,Bronze
Ott Boros,M,27.0,186.0,95.0,Hungary,HUN,1956,Summer,Melbourne,Water Polo,Water Polo Men's Water Polo,Gold
Ott Boros,M,31.0,186.0,95.0,Hungary,HUN,1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,Bronze
Ott Boros,M,35.0,186.0,95.0,Hungary,HUN,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,Gold
Jean Laurent Robert Borotra,M,25.0,183.0,76.0,France-2,FRA,1924,Summer,Paris,Tennis,Tennis Men's Doubles,Bronze
Jrn Borowski,M,21.0,177.0,76.0,East Germany,GDR,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Dinghy,Silver
Paul Borowski,M,31.0,172.0,83.0,East Germany,GDR,1968,Summer,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Paul Borowski,M,35.0,172.0,83.0,East Germany,GDR,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Silver
Lyudmila Vasilyevna Borozna (-Zhigily),F,18.0,180.0,75.0,Soviet Union,URS,1972,Summer,Munich,Volleyball,Volleyball Women's Volleyball,Gold
"Arthur Thurman ""Thur"" Borren",M,27.0,174.0,69.0,New Zealand,NZL,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Gold
Ismael Borrero Molina,M,24.0,160.0,59.0,Cuba,CUB,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
Norman Francis Borrett,M,30.0,176.85257731958762,73.34376086200903,Great Britain,GBR,1948,Summer,London,Hockey,Hockey Men's Hockey,Silver
Elmar Borrmann,M,27.0,176.0,76.0,West Germany,FRG,1984,Summer,Los Angeles,Fencing,"Fencing Men's epee, Team",Gold
Elmar Borrmann,M,31.0,176.0,76.0,West Germany,FRG,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Team",Silver
Elmar Borrmann,M,35.0,176.0,76.0,Germany,GER,1992,Summer,Barcelona,Fencing,"Fencing Men's epee, Team",Gold
Luis Borroto Jimnez,M,21.0,185.0,78.0,Cuba,CUB,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Gold
Antonel Boran,M,26.0,175.0,80.0,Romania,ROU,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Nino Borsari,M,20.0,167.0,73.39152892561984,Italy,ITA,1932,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Viktor Nikolayevich Borshch,M,23.0,191.0,89.0,Soviet Union,URS,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,Bronze
Nikolay Konstantinovich Borshchevsky,M,27.0,175.0,82.0,Unified Team,EUN,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Martin Luther Borthen,M,41.0,177.0,70.70239290053351,Heira II,NOR,1920,Summer,Antwerpen,Sailing,Sailing Mixed 12 metres,Gold
Zenon Yanovich Bortkevich,M,27.0,179.0,80.0,Soviet Union,URS,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,Bronze
Francesca Bortolozzi-Borella,F,20.0,170.0,55.0,Italy,ITA,1988,Summer,Seoul,Fencing,"Fencing Women's Foil, Team",Silver
Francesca Bortolozzi-Borella,F,24.0,170.0,55.0,Italy,ITA,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Team",Gold
Francesca Bortolozzi-Borella,F,28.0,170.0,55.0,Italy,ITA,1996,Summer,Atlanta,Fencing,"Fencing Women's Foil, Team",Gold
"Vincent Joseph ""Vince"" Boryla",M,21.0,195.0,95.0,United States,USA,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
Nataliya Serhivna Borysenko,F,28.0,188.0,72.0,Ukraine,UKR,2004,Summer,Athina,Handball,Handball Women's Handball,Bronze
Oleksiy Yevhenovych Boryslavskiy,M,19.0,191.0,88.0,Soviet Union,URS,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Yury Mikhaylovich Borzakovsky,M,23.0,183.0,70.0,Russia,RUS,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,Gold
Galina Nikolayevna Borzenkova (Tyan-),F,28.0,174.84027777777777,68.87685113016367,Unified Team,EUN,1992,Summer,Barcelona,Handball,Handball Women's Handball,Bronze
Valeriy Pylypovych Borzov,M,22.0,183.0,80.0,Soviet Union,URS,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,Gold
Valeriy Pylypovych Borzov,M,22.0,183.0,80.0,Soviet Union,URS,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,Gold
Valeriy Pylypovych Borzov,M,22.0,183.0,80.0,Soviet Union,URS,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Valeriy Pylypovych Borzov,M,26.0,183.0,80.0,Soviet Union,URS,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,Bronze
Valeriy Pylypovych Borzov,M,26.0,183.0,80.0,Soviet Union,URS,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Hans-Joachim Borzym,M,24.0,188.0,92.0,East Germany,GDR,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,Bronze
Jan Bos,M,22.0,190.0,83.0,Netherlands,NED,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,000 metres",Silver
Jan Bos,M,26.0,190.0,83.0,Netherlands,NED,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating Men's 1,000 metres",Silver
"Jan Justus ""Jan-Just"" Bos",M,25.0,168.0,49.0,Netherlands,NED,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Pairs,Bronze
Theo Bos,M,20.0,190.0,85.0,Netherlands,NED,2004,Summer,Athina,Cycling,Cycling Men's Sprint,Silver
Willemijn Bos,F,28.0,181.0,69.0,Netherlands,NED,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver
Marcelien Bos-de Koning,F,30.0,175.0,62.0,Netherlands,NED,2008,Summer,Beijing,Sailing,Sailing Women's Two Person Dinghy,Silver
Eva Boskov-Vchtov (-Hlavkov),F,20.0,162.0,59.0,Czechoslovakia,TCH,1952,Summer,Helsinki,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Eva Boskov-Vchtov (-Hlavkov),F,24.0,162.0,59.0,Czechoslovakia,TCH,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Balance Beam,Silver
Eva Boskov-Vchtov (-Hlavkov),F,28.0,162.0,59.0,Czechoslovakia,TCH,1960,Summer,Roma,Gymnastics,Gymnastics Women's Team All-Around,Silver
Eva Boskov-Vchtov (-Hlavkov),F,28.0,162.0,59.0,Czechoslovakia,TCH,1960,Summer,Roma,Gymnastics,Gymnastics Women's Balance Beam,Gold
Renato Bosatta,M,22.0,180.0,79.0,Italy,ITA,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,Silver
Renato Bosatta,M,26.0,180.0,79.0,Italy,ITA,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Fours,Silver
Renato Bosatta,M,30.0,180.0,79.0,Italy,ITA,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Fours,Bronze
Edith Bosch,F,24.0,183.0,70.0,Netherlands,NED,2004,Summer,Athina,Judo,Judo Women's Middleweight,Silver
Edith Bosch,F,28.0,183.0,70.0,Netherlands,NED,2008,Summer,Beijing,Judo,Judo Women's Middleweight,Bronze
Edith Bosch,F,32.0,183.0,70.0,Netherlands,NED,2012,Summer,London,Judo,Judo Women's Middleweight,Bronze
Fritz Bsch,M,25.556898357297374,183.2603550295858,80.27923076923076,Switzerland,SUI,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Fours,Silver
Gerard Dagobert Henri Bosch van Drakestein,M,36.0,174.7906976744186,72.75206611570248,Netherlands,NED,1924,Summer,Paris,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
Gerard Dagobert Henri Bosch van Drakestein,M,40.0,178.05714285714285,76.27887788778878,Netherlands,NED,1928,Summer,Amsterdam,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
Gerard Dagobert Henri Bosch van Drakestein,M,40.0,179.6309887869521,73.39152892561984,Netherlands,NED,1928,Summer,Amsterdam,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Bruno Boscherie,M,29.0,180.0,74.0,France,FRA,1980,Summer,Moskva,Fencing,"Fencing Men's Foil, Team",Gold
Roland Bse,M,21.0,187.0,90.0,West Germany,FRG,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,Gold
Ryszard Bosek,M,26.0,189.0,88.0,Poland,POL,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Gold
"Christopher Wesson ""Chris"" Bosh",M,24.0,208.0,104.0,United States,USA,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
Lorenzo Bosisio,M,24.0,176.0,75.0,Italy,ITA,1968,Summer,Mexico City,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Slobodan Bokan,M,25.0,197.0,87.0,Serbia and Montenegro,SCG,2000,Summer,Sydney,Volleyball,Volleyball Men's Volleyball,Gold
Vujadin Bokov,M,21.0,177.4803386127799,73.08664412510566,Yugoslavia,YUG,1952,Summer,Helsinki,Football,Football Men's Football,Silver
Miho Bokovi,M,29.0,196.0,96.0,Croatia,CRO,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
Tijana Bokovi,F,19.0,193.0,82.0,Serbia,SRB,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver
Francisco Javier Bosma Mnguez,M,34.0,190.0,86.0,Spain,ESP,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
Fernand Adrian Jean Bosmans,M,24.0,182.02529182879377,76.57866948257656,Belgium,BEL,1908,Summer,London,Fencing,"Fencing Men's epee, Team",Bronze
Albert Bosquet,M,25.556898357297374,179.54545454545453,102.5,Belgium,BEL,1920,Summer,Antwerpen,Shooting,"Shooting Men's Trap, Team",Silver
Gilles Marcel Bosquet,M,22.0,192.0,84.0,France,FRA,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,Silver
"Leonard Francois Gerard ""Leo"" Bosschart",M,31.0,177.4803386127799,73.08664412510566,Netherlands,NED,1920,Summer,Antwerpen,Football,Football Men's Football,Bronze
Rudolf Bosshard,M,25.556898357297374,188.4332603938731,86.81361607142857,Switzerland,SUI,1924,Summer,Paris,Rowing,Rowing Men's Double Sculls,Bronze
Dominique Simone Bosshart,F,22.0,178.0,82.0,Canada,CAN,2000,Summer,Sydney,Taekwondo,Taekwondo Women's Heavyweight,Bronze
Carmelo Bossi,M,20.0,171.0,71.0,Italy,ITA,1960,Summer,Roma,Boxing,Boxing Men's Light-Middleweight,Silver
ngel Fernando Bossio Garclandez,M,23.0,176.0,75.0,Argentina,ARG,1928,Summer,Amsterdam,Football,Football Men's Football,Silver
Carlos Gustavo Bossio,M,22.0,194.0,96.0,Argentina,ARG,1996,Summer,Atlanta,Football,Football Men's Football,Silver
Roger-Yves Bost,M,50.0,176.0,80.0,France,FRA,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Ralph Harold Boston,M,21.0,187.0,74.0,United States,USA,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,Gold
Ralph Harold Boston,M,25.0,187.0,74.0,United States,USA,1964,Summer,Tokyo,Athletics,Athletics Men's Long Jump,Silver
Ralph Harold Boston,M,29.0,187.0,74.0,United States,USA,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,Bronze
Erik Bostrm,M,42.0,173.91666666666666,70.70239290053351,Sweden,SWE,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Silver
Wollmar Filip Bostrm,M,29.0,175.33896987366376,70.70239290053351,Sweden,SWE,1908,Summer,London,Tennis,"Tennis Men's Doubles, Covered Courts",Bronze
Silvia Bosurgi,F,25.0,164.0,59.0,Italy,ITA,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,Gold
"Catherine La Ora ""Cathy"" Boswell",F,21.0,183.0,78.0,United States,USA,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,Gold
Kinga Bta,F,26.0,180.0,69.0,Hungary,HUN,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
Juan Botella Medina,M,19.0,170.0,68.0,Mexico,MEX,1960,Summer,Roma,Diving,Diving Men's Springboard,Bronze
Gratsian Georgiyevich Botev,M,27.0,178.93827160493828,78.1753086419753,Soviet Union,URS,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Gratsian Georgiyevich Botev,M,27.0,171.6,68.5,Soviet Union,URS,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Gold
Heinz-Jrgen Bothe,M,26.0,195.0,91.0,East Germany,GDR,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Pairs,Gold
"Molly Ray Botkin (-Rossiter, -Trees)",F,16.0,173.0,61.0,United States,USA,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Andrs Botos,M,20.0,166.0,60.0,Hungary,HUN,1972,Summer,Munich,Boxing,Boxing Men's Featherweight,Bronze
"Elizabeth Anne ""Beth"" Botsford",F,15.0,165.0,49.0,United States,USA,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,Gold
"Elizabeth Anne ""Beth"" Botsford",F,15.0,165.0,49.0,United States,USA,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Jennifer Lori Botterill,F,18.0,175.0,71.0,Canada,CAN,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
Jennifer Lori Botterill,F,22.0,175.0,71.0,Canada,CAN,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Jennifer Lori Botterill,F,26.0,175.0,71.0,Canada,CAN,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Jennifer Lori Botterill,F,30.0,175.0,71.0,Canada,CAN,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Filippo Emanuele Bottino,M,31.0,179.68075117370893,99.0,Italy,ITA,1920,Summer,Antwerpen,Weightlifting,Weightlifting Men's Heavyweight,Gold
"Joseph Stuart ""Joe"" Bottom",M,21.0,194.0,87.0,United States,USA,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Butterfly,Silver
"Joseph Stuart ""Joe"" Bottom",M,21.0,194.0,87.0,United States,USA,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Mikhail Botvinov,M,34.0,185.0,80.0,Austria,AUT,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Silver
Mikhail Botvinov,M,38.0,185.0,80.0,Austria,AUT,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Bronze
Ins Boubakri,F,27.0,167.0,56.0,Tunisia,TUN,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",Bronze
Didier Boub,M,27.0,180.0,70.0,France,FRA,1984,Summer,Los Angeles,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
Henry Charles Boucha,M,20.0,186.0,84.0,United States,USA,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Donatien Antonin Marie Bouch,M,46.0,179.84615384615384,81.66666666666667,L'Aile VI,FRA,1928,Summer,Amsterdam,Sailing,Sailing Mixed 8 metres,Gold
Gatan T. Boucher,M,21.0,171.0,72.0,Canada,CAN,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Men's 1,000 metres",Silver
Gatan T. Boucher,M,25.0,171.0,72.0,Canada,CAN,1984,Winter,Sarajevo,Speed Skating,Speed Skating Men's 500 metres,Bronze
Gatan T. Boucher,M,25.0,171.0,72.0,Canada,CAN,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 1,000 metres",Gold
Gatan T. Boucher,M,25.0,171.0,72.0,Canada,CAN,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
Pascal Boucherit,M,24.0,187.0,82.0,France,FRA,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
mile Bouchs,M,23.0,167.53996737357258,63.13330529857023,France,FRA,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Danil Ephrem Jean Odiel Bouckaert,M,25.0,175.33896987366376,70.70239290053351,Belgium,BEL,1920,Summer,Antwerpen,Equestrianism,"Equestrianism Men's Vaulting, Individual",Gold
Danil Ephrem Jean Odiel Bouckaert,M,25.0,175.33896987366376,70.70239290053351,Belgium,BEL,1920,Summer,Antwerpen,Equestrianism,"Equestrianism Men's Vaulting, Team",Gold
Jules Henri Bouckaert,M,30.0,183.2603550295858,80.27923076923076,Cercle de l'Aviron Roubaix-4,FRA,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Gold
Jean Pierre Boudehen,M,25.0,175.0,68.0,France,FRA,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
David Alasdair Boudia,M,23.0,175.0,73.0,United States,USA,2012,Summer,London,Diving,Diving Men's Platform,Gold
David Alasdair Boudia,M,23.0,175.0,73.0,United States,USA,2012,Summer,London,Diving,Diving Men's Synchronized Platform,Bronze
David Alasdair Boudia,M,27.0,175.0,73.0,United States,USA,2016,Summer,Rio de Janeiro,Diving,Diving Men's Platform,Bronze
David Alasdair Boudia,M,27.0,175.0,73.0,United States,USA,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,Silver
Laurent Norden Boudouani,M,21.0,176.0,67.0,France,FRA,1988,Summer,Seoul,Boxing,Boxing Men's Welterweight,Silver
Christine-Isabel Boudrias,F,21.0,165.0,61.0,Canada,CAN,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Silver
Christine-Isabel Boudrias,F,25.0,165.0,61.0,Canada,CAN,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
"Ronald Hermannus ""Ron"" Boudrie",M,32.0,201.0,92.0,Netherlands,NED,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Silver
"Herbert Clifford ""Bert"" Bouffler",M,25.0,183.0,71.0,Great Britain,GBR,1906,Summer,Athina,Cycling,Cycling Men's Sprint,Silver
Gilbert Bougnol,M,33.0,171.5,70.70239290053351,France,FRA,1900,Summer,Paris,Fencing,"Fencing Men's epee, Masters, Individual",Silver
Ren Bougnol,M,21.0,168.0,73.33481575603558,France,FRA,1932,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Team",Gold
Ren Bougnol,M,25.0,168.0,73.33481575603558,France,FRA,1936,Summer,Berlin,Fencing,"Fencing Men's Foil, Team",Silver
Ren Bougnol,M,37.0,168.0,73.33481575603558,France,FRA,1948,Summer,London,Fencing,"Fencing Men's Foil, Team",Gold
Thomas Bouhail,M,22.0,166.0,61.0,France,FRA,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horse Vault,Silver
Alexandre Franois tienne Jean Bouin,M,19.0,172.0,70.0,France,FRA,1908,Summer,London,Athletics,"Athletics Men's 3 mile, Team",Bronze
